Date Time,Ch2,Ch4,Ch5,ChX,Amb
Date Time,Solar Radiation         ,Ground Temp             ,Air Temp (Shade)        ,Wind Speed      ,ambient temp
,,,,,
Data Set 1,,,,,
6/22/2024 4:20,0.4,21.76,21.65,0,21.71
6/22/2024 4:25,0.4,21.76,21.65,0,21.71
6/22/2024 4:30,0.4,21.76,21.65,0,21.71
6/22/2024 4:35,0.4,21.74,21.62,0,21.71
6/22/2024 4:40,0.4,21.74,21.62,0,21.71
6/22/2024 4:45,0.4,21.74,21.62,0,21.71
6/22/2024 4:50,0.4,21.78,21.65,0,21.71
6/22/2024 4:55,0.4,21.78,21.67,0,21.74
6/22/2024 5:00,0.4,21.78,21.67,0,21.71
6/22/2024 5:05,0.4,21.78,21.67,0,21.74
6/22/2024 5:10,1.1,21.78,21.67,0,21.74
6/22/2024 5:15,1.1,21.8,21.69,0,21.74
6/22/2024 5:20,0.4,21.82,21.74,0,21.74
6/22/2024 5:25,0.4,21.82,21.74,0,21.76
6/22/2024 5:30,1.1,21.8,21.71,0,21.76
6/22/2024 5:35,1.1,21.85,21.76,0,21.76
6/22/2024 5:40,1.1,21.87,21.78,0,21.78
6/22/2024 5:45,0.4,21.87,21.78,0,21.78
6/22/2024 5:50,0.4,21.85,21.76,0,21.78
6/22/2024 5:55,0.4,21.82,21.74,0,21.78
6/22/2024 6:00,0.4,21.82,21.74,0,21.78
6/22/2024 6:05,0.4,21.85,21.74,0,21.78
6/22/2024 6:10,0.4,21.85,21.76,0,21.78
6/22/2024 6:15,0.4,21.82,21.74,0,21.78
6/22/2024 6:20,0.4,21.82,21.71,0,21.78
6/22/2024 6:25,0.4,21.82,21.71,0,21.78
6/22/2024 6:30,0.4,21.8,21.71,0,21.78
6/22/2024 6:35,0.4,21.8,21.69,0,21.76
6/22/2024 6:40,0.4,21.8,21.69,0,21.76
6/22/2024 6:45,0.4,21.8,21.69,0,21.76
6/22/2024 6:50,0.4,21.8,21.69,0,21.76
6/22/2024 6:55,0.4,21.8,21.69,0,21.76
6/22/2024 7:00,1.1,21.8,21.69,0,21.76
6/22/2024 7:05,1.1,21.82,21.71,0,21.76
6/22/2024 7:10,0.4,21.82,21.71,0,21.76
6/22/2024 7:15,1.1,21.82,21.74,0,21.78
6/22/2024 7:20,1.1,21.8,21.69,0,21.78
6/22/2024 7:25,0.4,21.8,21.67,0,21.78
6/22/2024 7:30,0.4,21.87,21.78,0,21.78
6/22/2024 7:35,0.4,21.93,21.87,0,21.8
6/22/2024 7:40,0.4,22.02,21.98,0,21.82
6/22/2024 7:45,0.4,22.05,22.02,0,21.87
6/22/2024 7:50,1.1,22.05,22.05,0,21.91
6/22/2024 7:55,1.1,22.11,22.09,0,21.96
6/22/2024 8:00,0.4,22.11,22.09,0,21.98
6/22/2024 8:05,1.1,22.05,22.02,0,22
6/22/2024 8:10,0.4,22.05,21.98,0,22.02
6/22/2024 8:15,0.4,21.98,21.89,0,22.02
6/22/2024 8:20,0.4,21.93,21.8,0,22
6/22/2024 8:25,1.1,21.89,21.74,0,21.96
6/22/2024 8:30,1.1,21.87,21.69,0,21.93
6/22/2024 8:35,0.4,21.85,21.67,0,21.91
6/22/2024 8:40,0.4,21.8,21.62,0,21.89
6/22/2024 8:45,0.4,21.76,21.58,0,21.85
6/22/2024 8:50,0.4,21.74,21.53,0,21.82
6/22/2024 8:55,0.4,21.69,21.49,0,21.78
6/22/2024 9:00,0.4,21.67,21.45,0,21.76
6/22/2024 9:05,0.4,21.62,21.42,0,21.71
6/22/2024 9:10,0.4,21.6,21.4,0,21.69
6/22/2024 9:15,0.4,21.6,21.38,0,21.65
6/22/2024 9:20,0.4,21.58,21.38,0,21.62
6/22/2024 9:25,0.4,21.56,21.35,0,21.6
6/22/2024 9:30,1.1,21.53,21.35,0,21.56
6/22/2024 9:35,0.7,21.56,21.35,0,21.62
6/22/2024 9:40,1.1,21.6,21.45,0,21.8
6/22/2024 9:45,1.1,21.6,21.45,0,21.8
6/22/2024 9:50,0.4,21.58,21.45,0,21.76
6/22/2024 9:55,0.4,21.56,21.4,0,21.71
6/22/2024 10:00,1.1,21.53,21.38,0,21.67
6/22/2024 10:05,0.4,21.56,21.4,0,21.65
6/22/2024 10:10,0.4,21.56,21.42,0,21.62
6/22/2024 10:15,1.1,21.56,21.42,0,21.6
6/22/2024 10:20,1.1,21.58,21.45,0,21.6
6/22/2024 10:25,1.1,21.58,21.45,0,21.58
6/22/2024 10:30,1.1,21.58,21.45,0,21.58
6/22/2024 10:35,102.6,21.26,21.35,0,21.6
6/22/2024 10:40,71.8,21.65,21.13,0,21.74
6/22/2024 10:45,62.3,21.47,20.3,0,21.74
6/22/2024 10:50,50.2,21.38,21.04,0,21.69
6/22/2024 10:55,327.8,21.69,24.16,0.06,21.78
6/22/2024 11:00,735.9,22.34,22.61,0.0675,22.14
6/22/2024 11:05,1256.8,26.42,25.87,0,22.81
6/22/2024 11:10,420.9,27.1,23.62,0,23.62
6/22/2024 11:15,502.6,24.5,22.9,0,23.98
6/22/2024 11:20,582.1,24.07,24.12,0,24.28
6/22/2024 11:25,453.5,23.87,24.93,0.015,24.57
6/22/2024 11:30,539.2,23.28,22.68,0.015,24.8
6/22/2024 11:35,599.6,23.24,24.95,0.0225,24.95
6/22/2024 11:40,435.2,24.32,25.55,0.0075,25.25
6/22/2024 11:45,417.9,23.73,23.71,0,25.41
6/22/2024 11:50,704,23.53,23.85,0.0525,25.41
6/22/2024 11:55,566.7,24.73,26.96,0,25.57
6/22/2024 12:00,557.5,25.37,30.43,0.0075,26.3
6/22/2024 12:05,554.2,25.44,25.87,0.12,27.45
6/22/2024 12:10,498.5,25.25,25.62,0.0525,28.01
6/22/2024 12:15,622.3,26.14,26.35,0.075,28.45
6/22/2024 12:20,553.5,27.03,26,0.12,29.17
6/22/2024 12:25,621.6,27.13,26.16,0.0225,29.92
6/22/2024 12:30,547.6,28.15,26.69,0.06,30.78
6/22/2024 12:35,532.6,27.73,26.14,0.1425,31.5
6/22/2024 12:40,549.1,27.01,24.95,0.0675,31.85
6/22/2024 12:45,480.6,26.83,25.32,0.075,31.95
6/22/2024 12:50,520.9,26.92,25.73,0.015,31.97
6/22/2024 12:55,486.1,27.36,26.4,0.015,32.12
6/22/2024 13:00,447.6,26.99,25.57,0,32.17
6/22/2024 13:05,461.9,26.53,26.07,0,32.04
6/22/2024 13:10,448.4,26.58,26.99,0.0075,31.9
6/22/2024 13:15,415.4,26.37,26.12,0,31.74
6/22/2024 13:20,400.4,25.78,25.89,0,31.45
6/22/2024 13:25,422,25.3,25.23,0.015,31.09
6/22/2024 13:30,388.6,24.93,24.82,0.3,30.64
6/22/2024 13:35,386.4,24.71,24.57,0.0225,30.26
6/22/2024 13:40,404.8,24.46,24.62,0,29.83
6/22/2024 13:45,444.7,25.44,25.41,0,29.65
6/22/2024 13:50,461.9,25.62,25.62,0,29.55
6/22/2024 13:55,441.4,26.28,26.51,0.015,29.65
6/22/2024 14:00,452.4,25.44,25.55,0,29.74
6/22/2024 14:05,402.6,25.28,25.48,0.015,29.76
6/22/2024 14:10,546.2,25.71,26.12,0,29.79
6/22/2024 14:15,472.9,26.74,26.33,0,29.99
6/22/2024 14:20,593,29.72,27.87,0.015,30.45
6/22/2024 14:25,866.7,31.35,28.92,0.1125,31.52
6/22/2024 14:30,1071.8,33.09,30.19,0.0675,32.73
6/22/2024 14:35,561.5,33.07,31.38,0,34
6/22/2024 14:40,483.2,30.31,27.38,0.06,34.67
6/22/2024 14:45,435.2,28.43,26.37,0.1575,34.55
6/22/2024 14:50,381,26.99,25.78,0.015,33.98
6/22/2024 14:55,428.9,26.14,25.46,0.0375,33.27
6/22/2024 15:00,395.2,26.26,25.71,0.24,32.68
6/22/2024 15:05,397.4,25.3,25.23,0.615,32.14
6/22/2024 15:10,407.7,24.64,24.53,0.84,31.47
6/22/2024 15:15,385.3,25.04,25,0.0825,30.88
6/22/2024 15:20,337.7,24.69,24.5,0.0975,30.4
6/22/2024 15:25,351.3,24.8,24.82,0.0225,30.02
6/22/2024 15:30,349.8,24.8,24.71,0.0225,29.69
6/22/2024 15:35,368.1,25.04,25.14,0.0525,29.48
6/22/2024 15:40,447.3,25.23,25.39,0.165,29.39
6/22/2024 15:45,442.1,26.51,26.51,0.045,29.55
6/22/2024 15:50,704,29.6,27.87,0.0375,30.09
6/22/2024 15:55,914.7,33.34,29.65,0.0375,31.43
6/22/2024 16:00,624.9,33.69,31.19,0.0525,33.14
6/22/2024 16:05,411.7,30.47,28.05,0.03,34.18
6/22/2024 16:10,443.6,28.41,27.29,0,34.28
6/22/2024 16:15,385,28.15,26.74,0.0375,34.08
6/22/2024 16:20,656.8,27.85,26.51,0,33.71
6/22/2024 16:25,450.2,29.36,27.75,0,33.71
6/22/2024 16:30,363,29.15,27.89,0.0075,33.78
6/22/2024 16:35,401.5,28.41,27.89,0,33.78
6/22/2024 16:40,535.5,29.74,29.99,0,34
6/22/2024 16:45,374.4,30.4,30.26,0,34.55
6/22/2024 16:50,341.4,29.08,28.36,0,34.77
6/22/2024 16:55,328.2,28.05,27.43,0,34.57
6/22/2024 17:00,448.4,27.78,27.36,0,34.18
6/22/2024 17:05,339.6,29.39,30.02,0,34.25
6/22/2024 17:10,455.7,28.22,27.94,0,34.33
6/22/2024 17:15,360.8,27.98,27.5,0,34.18
6/22/2024 17:20,268.5,28.01,28.12,0,33.91
6/22/2024 17:25,270.3,26.76,26.49,0,33.44
6/22/2024 17:30,263.4,26.49,26.07,0,32.83
6/22/2024 17:35,274.7,26.67,26.65,0,32.32
6/22/2024 17:40,307,26.92,26.83,0,32.07
6/22/2024 17:45,294.1,27.29,26.83,0,31.97
6/22/2024 17:50,312.8,26.87,27.01,0.0075,31.83
6/22/2024 17:55,238.8,26.67,26.78,0,31.67
6/22/2024 18:00,298.5,25.8,26.07,0,31.38
6/22/2024 18:05,302.2,26.33,27.59,0,31.16
6/22/2024 18:10,250.2,26.23,26.65,0.0075,31.11
6/22/2024 18:15,267.8,25.62,25.93,0,30.9
6/22/2024 18:20,196,26.3,28.41,0.0075,30.95
6/22/2024 18:25,157.9,25.93,27.2,0.0225,31.55
6/22/2024 18:30,283.9,24.57,25.07,0.0075,31.47
6/22/2024 18:35,123.1,24.78,26.53,0,31.23
6/22/2024 18:40,291.6,24.07,25.75,0.1575,31.35
6/22/2024 18:45,247.3,23.51,25.39,0.0675,31.55
6/22/2024 18:50,249.5,23.03,24.75,0.015,31.19
6/22/2024 18:55,114.7,23.76,26.96,0,31.11
6/22/2024 19:00,139.2,23.91,27.43,0,31.33
6/22/2024 19:05,137,23.6,26.09,0,31.33
6/22/2024 19:10,127.8,23.73,25.02,0,31.21
6/22/2024 19:15,314.7,23.65,26.05,0,31.02
6/22/2024 19:20,140.7,23.78,25.37,0,31.5
6/22/2024 19:25,98.2,22.07,22.23,0.015,30.95
6/22/2024 19:30,77.3,21.17,21.31,0,29.74
6/22/2024 19:35,56.4,20.95,20.84,0,28.48
6/22/2024 19:40,52.4,20.77,20.18,0,27.29
6/22/2024 19:45,49.8,20.59,19.89,0,26.21
6/22/2024 19:50,46.2,20.16,19.69,0,25.23
6/22/2024 19:55,45.4,20.02,19.52,0,24.39
6/22/2024 20:00,48,20,19.36,0,23.65
6/22/2024 20:05,46.2,19.91,19.34,0,23.01
6/22/2024 20:10,39.9,20,19.02,0,22.5
6/22/2024 20:15,36.3,19.87,18.44,0,22
6/22/2024 20:20,53.8,19.74,19.76,0,21.51
6/22/2024 20:25,42.5,19.56,22.21,0,21.15
6/22/2024 20:30,31.1,19.4,21.33,0,20.99
6/22/2024 20:35,22.3,19.18,20.07,0,20.86
6/22/2024 20:40,17.9,19.02,18.64,0,20.55
6/22/2024 20:45,16.8,18.91,17.68,0,20.07
6/22/2024 20:50,17.2,18.95,17.3,0,19.6
6/22/2024 20:55,14.7,19.06,17.3,0,19.2
6/22/2024 21:00,11,19.09,17.53,0,18.91
6/22/2024 21:05,8.4,18.8,17.77,0,18.64
6/22/2024 21:10,5.9,18.89,17.55,0,18.42
6/22/2024 21:15,3.7,18.86,17.55,0,18.19
6/22/2024 21:20,2.6,18.78,16.98,0,17.99
6/22/2024 21:25,1.8,18.69,16.4,0,17.75
6/22/2024 21:30,1.1,18.53,16.38,0,17.53
6/22/2024 21:35,0.7,18.44,16.72,0,17.32
6/22/2024 21:40,0.4,18.29,16.06,0,17.1
6/22/2024 21:45,0.4,18.13,15.91,0,16.85
6/22/2024 21:50,0.4,18.06,15.93,0,16.65
6/22/2024 21:55,0.7,17.97,15.68,0,16.45
6/22/2024 22:00,0.4,17.81,15.62,0,16.27
6/22/2024 22:05,0.4,17.9,15.44,0,16.08
6/22/2024 22:10,0.4,17.86,15.53,0,15.95
6/22/2024 22:15,0.4,17.95,15.77,0,15.84
6/22/2024 22:20,0.4,17.97,16.56,0,15.77
6/22/2024 22:25,0.4,18.04,16.81,0,15.73
6/22/2024 22:30,0.4,17.9,17.12,0,15.73
6/22/2024 22:35,0.4,17.57,17.32,0,15.77
6/22/2024 22:40,0.7,17.41,17.07,0,15.79
6/22/2024 22:45,0.4,17.21,17.03,0,15.82
6/22/2024 22:50,0.4,16.98,16.9,0,15.82
6/22/2024 22:55,0.4,17.01,16.9,0.0075,15.82
6/22/2024 23:00,0.7,16.92,16.78,0,15.79
6/22/2024 23:05,0.4,16.78,16.56,0,15.75
6/22/2024 23:10,0.4,16.76,16.52,0,15.71
6/22/2024 23:15,0.4,16.49,16.52,0.015,15.66
6/22/2024 23:20,0.7,16.47,16.54,0.1575,15.64
6/22/2024 23:25,0.4,16.47,16.58,0.1425,15.62
6/22/2024 23:30,0.4,16.74,16.74,0.015,15.68
6/22/2024 23:35,0.4,16.87,16.78,0.015,15.75
6/22/2024 23:40,0.4,16.81,16.81,0.1275,15.84
6/22/2024 23:45,0.4,16.83,16.76,0.03,15.91
6/22/2024 23:50,0.4,16.9,16.72,0.03,15.97
6/22/2024 23:55,0.4,17.01,16.67,0,16.02
6/23/2024 0:00,0.4,16.74,16.52,0.24,16.04
6/23/2024 0:05,0.4,16.58,16.36,0.0375,16.02
6/23/2024 0:10,0.4,16.52,16.29,0,15.97
6/23/2024 0:15,0.4,16.54,16.08,0.0225,15.95
6/23/2024 0:20,0.4,16.43,15.75,0,15.86
6/23/2024 0:25,0.4,16.08,15.57,0.105,15.73
6/23/2024 0:30,0.4,15.95,15.35,0,15.53
6/23/2024 0:35,0.4,15.88,15.44,0.03,15.37
6/23/2024 0:40,0.4,15.93,15.5,0.03,15.26
6/23/2024 0:45,0.4,16.29,15.64,0,15.21
6/23/2024 0:50,0.4,16.54,15.62,0,15.19
6/23/2024 0:55,0.4,16.29,15.55,0.03,15.19
6/23/2024 1:00,0.4,16.06,15.14,0,15.14
6/23/2024 1:05,0.4,15.77,14.85,0,14.98
6/23/2024 1:10,0.4,15.68,14.67,0.0075,14.78
6/23/2024 1:15,0.4,15.55,14.74,0,14.58
6/23/2024 1:20,0.4,15.93,15.05,0,14.49
6/23/2024 1:25,0.7,16.29,15.07,0,14.47
6/23/2024 1:30,0.4,16.34,15.19,0,14.49
6/23/2024 1:35,0.4,16.36,15.12,0,14.53
6/23/2024 1:40,0.4,16.47,15.19,0,14.56
6/23/2024 1:45,0.4,16.27,15.41,0,14.6
6/23/2024 1:50,0.4,16.29,15.46,0.015,14.67
6/23/2024 1:55,0.7,16.06,15.55,0,14.74
6/23/2024 2:00,0.4,16.11,15.53,0.165,14.78
6/23/2024 2:05,0.4,15.82,15.53,0.06,14.85
6/23/2024 2:10,0.4,16.02,15.5,0.0075,14.89
6/23/2024 2:15,0.4,15.95,15.48,0.0825,14.91
6/23/2024 2:20,0.4,15.46,15.14,0.24,14.89
6/23/2024 2:25,0.4,15.3,14.76,0.0675,14.78
6/23/2024 2:30,0.4,15.16,14.17,0,14.6
6/23/2024 2:35,0.4,14.98,14.14,0.1275,14.37
6/23/2024 2:40,0.4,14.96,13.56,0,14.12
6/23/2024 2:45,0.4,14.8,13.81,0.015,13.87
6/23/2024 2:50,0.4,14.8,14.17,0.0075,13.72
6/23/2024 2:55,0.4,14.76,14.19,0.015,13.6
6/23/2024 3:00,0.4,14.94,13.65,0,13.51
6/23/2024 3:05,0.4,15.12,13.87,0,13.4
6/23/2024 3:10,0.4,15.07,13.96,0,13.33
6/23/2024 3:15,0.4,15.16,13.83,0.0075,13.28
6/23/2024 3:20,0.4,15.37,14.05,0,13.26
6/23/2024 3:25,0.4,15.5,13.96,0,13.26
6/23/2024 3:30,0.4,15.44,14.21,0,13.31
6/23/2024 3:35,0.4,15.53,14.19,0,13.33
6/23/2024 3:40,0.4,15,14.42,0.24,13.4
6/23/2024 3:45,0.4,14.53,14.12,0.0375,13.42
6/23/2024 3:50,0.4,14.47,13.96,0.0975,13.4
6/23/2024 3:55,0.4,14.37,13.67,0.0525,13.33
6/23/2024 4:00,0.4,14.37,13.83,0.06,13.24
6/23/2024 4:05,0.4,14.58,13.74,0,13.19
6/23/2024 4:10,0.4,14.53,13.69,0.015,13.14
6/23/2024 4:15,0.4,14.33,13.81,0.4575,13.07
6/23/2024 4:20,0.4,14.19,13.87,0.135,13.1
6/23/2024 4:25,0.4,14.37,13.6,0.0525,13.05
6/23/2024 4:30,0.4,13.94,13.42,0.03,12.98
6/23/2024 4:35,0.4,13.58,13.19,0.1725,12.87
6/23/2024 4:40,0.4,13.53,12.87,0.045,12.67
6/23/2024 4:45,0.7,13.26,12.83,0.045,12.46
6/23/2024 4:50,0.7,13.26,12.69,0.015,12.28
6/23/2024 4:55,1.1,13.26,12.16,0.015,12.07
6/23/2024 5:00,2.2,13.35,12.04,0,11.86
6/23/2024 5:05,2.6,13.74,12.49,0,11.7
6/23/2024 5:10,3.7,14.1,12.87,0,11.68
6/23/2024 5:15,4.8,14.03,12.69,0,11.68
6/23/2024 5:20,5.5,13.89,12.53,0,11.68
6/23/2024 5:25,5.9,14.03,13.12,0.03,11.7
6/23/2024 5:30,5.9,14.37,13.14,0,11.82
6/23/2024 5:35,7.3,14.62,13.31,0.0075,11.93
6/23/2024 5:40,7.3,14.62,13.42,0.0075,12.04
6/23/2024 5:45,9.2,14.58,13.49,0,12.18
6/23/2024 5:50,8.4,14.62,13.53,0,12.32
6/23/2024 5:55,8.4,14.6,13.56,0.015,12.42
6/23/2024 6:00,8.8,14.49,13.6,0.0375,12.55
6/23/2024 6:05,11,14.4,13.6,0.0525,12.65
6/23/2024 6:10,19,14.53,13.65,0.0675,12.74
6/23/2024 6:15,31.1,14.44,13.69,0.06,12.83
6/23/2024 6:20,38.5,14.58,13.83,0.075,12.94
