"","UniID","mom","ID","temp","active","instar","time","duration","mgain","rgrlog","rgrarith","time.per","dur","durbin"
"370","17.8.11","8",11,17,"y",5,NA,0,0,NA,NA,"current",0,NA
"371","17.8.11","8",11,17,"y",5,NA,6,6.22,0.0100387365147579,1.03666666666667,"current",6,6
"372","17.8.11","8",11,17,"y",5,NA,24,37.86,0.011667277067298,1.5775,"current",24,24
"373","17.8.12","8",12,17,"y",5,NA,0,0,NA,NA,"current",0,NA
"374","17.8.12","8",12,17,"y",5,NA,6,7.18000000000001,0.0068110155268003,1.19666666666667,"current",6,6
"375","17.8.12","8",12,17,"y",5,NA,24,52.55,0.00983616713700899,2.18958333333333,"current",24,24
"376","35.8.13","8",13,35,"y",4,NA,0,0,NA,NA,"current",0,NA
"377","35.8.13","8",13,35,"y",4,NA,6,10.96,0.046340370953507,1.82666666666667,"current",6,6
"378","35.8.13","8",13,35,"y",4,NA,24,37.53,0.025405078298967,1.56375,"current",24,24
"379","35.8.14","8",14,35,"y",4,NA,0,0,NA,NA,"current",0,NA
"380","35.8.14","8",14,35,"y",4,NA,6,7.09,0.0337165064607165,1.18166666666667,"current",6,6
"381","35.8.14","8",14,35,"y",4,NA,24,34.81,0.0246877748835686,1.45041666666667,"current",24,24
"382","35.8.15","8",15,35,"y",4,NA,0,0,NA,NA,"current",0,NA
"383","35.8.15","8",15,35,"y",4,NA,6,8.97,0.0286400636503371,1.495,"current",6,6
"384","35.8.15","8",15,35,"y",4,NA,24,40.37,0.0209601875123069,1.68208333333333,"current",24,24
"385","35.8.16","8",16,35,"y",4,NA,0,0,NA,NA,"current",0,NA
"386","35.8.16","8",16,35,"y",4,NA,6,9.04,0.0416267936498066,1.50666666666667,"current",6,6
"387","35.8.16","8",16,35,"y",4,NA,24,33.38,0.0244887207587513,1.39083333333333,"current",24,24
"388","35.8.17","8",17,35,"y",4,NA,0,0,NA,NA,"current",0,NA
"389","35.8.17","8",17,35,"y",4,NA,6,8.48,0.0333856931257071,1.41333333333333,"current",6,6
"390","35.8.17","8",17,35,"y",4,NA,24,30.83,0.0206512362872414,1.28458333333333,"current",24,24
"391","35.8.18","8",18,35,"y",4,NA,0,0,NA,NA,"current",0,NA
"392","35.8.18","8",18,35,"y",4,NA,6,8.41,0.0343064542380678,1.40166666666667,"current",6,6
"393","35.8.18","8",18,35,"y",4,NA,24,38.31,0.0239761505704549,1.59625,"current",24,24
"394","35.8.19","8",19,35,"y",5,NA,0,0,NA,NA,"current",0,NA
"395","35.8.19","8",19,35,"y",5,NA,6,43.39,0.0311815563586621,7.23166666666667,"current",6,6
"396","35.8.19","8",19,35,"y",5,NA,24,105.41,0.0151359304738407,4.39208333333333,"current",24,24
"397","35.8.20","8",20,35,"y",5,NA,0,0,NA,NA,"current",0,NA
"398","35.8.20","8",20,35,"y",5,NA,6,38.93,0.0413154553533297,6.48833333333333,"current",6,6
"399","35.8.20","8",20,35,"y",5,NA,24,105.53,0.0203938291132691,4.39708333333333,"current",24,24
"400","35.8.21","8",21,35,"y",5,NA,0,0,NA,NA,"current",0,NA
"401","35.8.21","8",21,35,"y",5,NA,6,36.56,0.0406254894806286,6.09333333333333,"current",6,6
"402","35.8.21","8",21,35,"y",5,NA,24,135.04,0.0240664166165843,5.62666666666667,"current",24,24
"403","35.8.22","8",22,35,"y",5,NA,0,0,NA,NA,"current",0,NA
"404","35.8.22","8",22,35,"y",5,NA,6,30.8,0.0275278753232235,5.13333333333333,"current",6,6
"405","35.8.22","8",22,35,"y",5,NA,24,90.78,0.0155677430229352,3.7825,"current",24,24
"406","35.8.23","8",23,35,"y",5,NA,0,0,NA,NA,"current",0,NA
"407","35.8.23","8",23,35,"y",5,NA,6,28.35,0.0264459659933451,4.725,"current",6,6
